"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 20 13:16:25 IST 2023","Wed Dec 20 13:16:30 IST 2023","4215","","Genie Website Registration Functionality: verify the names","","","","Then the user enters lastname",""
"passed","Wed Dec 20 13:17:34 IST 2023","Wed Dec 20 13:17:38 IST 2023","4186","","Genie Website Registration Functionality: User selects Preferred Recruiter","","","","Given user clicks on recruiter field",""
"passed","Wed Dec 20 13:16:07 IST 2023","Wed Dec 20 13:16:13 IST 2023","6210","","Genie Website Registration Functionality: To verify the passwordfield","","","","Then the user enters wrong password",""
"passed","Wed Dec 20 13:15:51 IST 2023","Wed Dec 20 13:15:54 IST 2023","3093","","Genie Website Registration Functionality: To verify valid and invalid phonenumber","","","","When the user enters invalid number and clicks on another field a message is displayed as Acceptable Phone Number Format is XXX-XXX-XXXX where X is a Numeric Digit. The dashes at 4th and 8th positions are both optional.",""
"passed","Wed Dec 20 13:15:24 IST 2023","Wed Dec 20 13:15:27 IST 2023","3112","","Genie Website Registration Functionality: To verify the email field","","","","Then the user gets a message as Please enter a valid email address of the format aaa@bbb.ccc",""
"passed","Wed Dec 20 13:15:21 IST 2023","Wed Dec 20 13:15:21 IST 2023","3","","Genie Website Registration Functionality: As a user,need to click on register for a new account","","","","",""
"passed","Wed Dec 20 13:15:54 IST 2023","Wed Dec 20 13:16:00 IST 2023","6219","","Genie Website Registration Functionality: To verify valid and invalid phonenumber","","","","Then the user enters valid phonenumber",""
"passed","Wed Dec 20 13:15:44 IST 2023","Wed Dec 20 13:15:49 IST 2023","5177","","Genie Website Registration Functionality: To verify valid and invalid phonenumber","","","","Then the user enters invalid phonenumber",""
"skipped","Wed Dec 20 13:15:37 IST 2023","Wed Dec 20 13:15:37 IST 2023","26","","Genie Website Registration Functionality: To verify the email field","","","","Then the user verify a error message as ""Your email is required to be at least 5 characters.""",""
"passed","Wed Dec 20 13:16:54 IST 2023","Wed Dec 20 13:17:19 IST 2023","24900","","Genie Website Registration Functionality: User selects suitable profession from the drop down","","","","When the user selects a Profession  and accordingly selects the specialty",""
"passed","Wed Dec 20 13:17:38 IST 2023","Wed Dec 20 13:17:46 IST 2023","8279","","Genie Website Registration Functionality: User selects Preferred Recruiter","","","","Then the user selects the required recruiter",""
"passed","Wed Dec 20 13:15:42 IST 2023","Wed Dec 20 13:15:42 IST 2023","2","","Genie Website Registration Functionality: To verify valid email","","","","",""
"passed","Wed Dec 20 13:15:49 IST 2023","Wed Dec 20 13:15:51 IST 2023","2098","","Genie Website Registration Functionality: To verify valid and invalid phonenumber","","","","Then clicks on password field",""
"passed","Wed Dec 20 13:17:19 IST 2023","Wed Dec 20 13:17:34 IST 2023","14502","","Genie Website Registration Functionality: User selects suitable profession from the drop down","","","","Then the user selects another profession and then selects specialty accordingly",""
"passed","Wed Dec 20 13:16:21 IST 2023","Wed Dec 20 13:16:25 IST 2023","4215","","Genie Website Registration Functionality: verify the names","","","","Given the user enters firstname",""
"passed","Wed Dec 20 13:17:46 IST 2023","Wed Dec 20 13:17:46 IST 2023","2","","Genie Website Registration Functionality: User selects Preferred Recruiter","","","","",""
"passed","Wed Dec 20 13:16:34 IST 2023","Wed Dec 20 13:16:50 IST 2023","16065","","Genie Website Registration Functionality: User selects a date using the date icon trigger","","","","Then selects a date from the date picker",""
"passed","Wed Dec 20 13:15:37 IST 2023","Wed Dec 20 13:15:37 IST 2023","2","","Genie Website Registration Functionality: To verify the email field","","","","",""
"passed","Wed Dec 20 13:15:21 IST 2023","Wed Dec 20 13:15:21 IST 2023","27","","Genie Website Registration Functionality: As a user,need to click on register for a new account","","","","Then user is on CaregiverRegistration page",""
"passed","Wed Dec 20 13:17:34 IST 2023","Wed Dec 20 13:17:34 IST 2023","69","","Genie Website Registration Functionality: User selects suitable profession from the drop down","","","","When user selects more specialties then a flash error message is seen",""
"passed","Wed Dec 20 13:16:50 IST 2023","Wed Dec 20 13:16:54 IST 2023","4141","","Genie Website Registration Functionality: User selects suitable profession from the drop down","","","","Given the user clicks on profession field and selects required one",""
"passed","Wed Dec 20 13:15:17 IST 2023","Wed Dec 20 13:15:21 IST 2023","4181","","Genie Website Registration Functionality: As a user,need to click on register for a new account","","","","When user clicks on register a new account",""
"passed","Wed Dec 20 13:16:00 IST 2023","Wed Dec 20 13:16:03 IST 2023","3084","","Genie Website Registration Functionality: To verify valid and invalid phonenumber","","","","Then a flash message is shown on the password field",""
"passed","Wed Dec 20 13:15:42 IST 2023","Wed Dec 20 13:15:44 IST 2023","2127","","Genie Website Registration Functionality: To verify valid and invalid phonenumber","","","","Given the user clicks on phonenumber field",""
"skipped","Wed Dec 20 13:15:37 IST 2023","Wed Dec 20 13:15:37 IST 2023","7","","Genie Website Registration Functionality: To verify the email field","","","","Then the user verify a error message as ""Your email cannot be longer than 100 characters.""",""
"passed","Wed Dec 20 13:16:03 IST 2023","Wed Dec 20 13:16:03 IST 2023","2","","Genie Website Registration Functionality: To verify valid and invalid phonenumber","","","","",""
"passed","Wed Dec 20 13:16:50 IST 2023","Wed Dec 20 13:16:50 IST 2023","2","","Genie Website Registration Functionality: User selects a date using the date icon trigger","","","","",""
"passed","Wed Dec 20 13:16:16 IST 2023","Wed Dec 20 13:16:21 IST 2023","5251","","Genie Website Registration Functionality: To verify the passwordfield","","","","Then the user enters the correct password",""
"passed","Wed Dec 20 13:14:49 IST 2023","Wed Dec 20 13:15:17 IST 2023","27764","","Genie Website Registration Functionality: As a user,need to click on register for a new account","","","","Given the user is on genie webpage",""
"passed","Wed Dec 20 13:16:03 IST 2023","Wed Dec 20 13:16:07 IST 2023","3220","","Genie Website Registration Functionality: To verify the passwordfield","","","","Given the user enters password and",""
"passed","Wed Dec 20 13:16:30 IST 2023","Wed Dec 20 13:16:34 IST 2023","4327","","Genie Website Registration Functionality: User selects a date using the date icon trigger","","","","Given the user clicks on the date icon trigger",""
"passed","Wed Dec 20 13:16:13 IST 2023","Wed Dec 20 13:16:16 IST 2023","3080","","Genie Website Registration Functionality: To verify the passwordfield","","","","Then a flash message is shown as The password and its confirmation do not match!",""
"failed","Wed Dec 20 13:15:27 IST 2023","Wed Dec 20 13:15:37 IST 2023","10095","","Genie Website Registration Functionality: To verify the email field","","","","Then the user verify a message as ""Your email is invalid.""",""
"passed","Wed Dec 20 13:15:21 IST 2023","Wed Dec 20 13:15:24 IST 2023","3265","","Genie Website Registration Functionality: To verify the email field","","","","Given the user enters invalid email",""
"passed","Wed Dec 20 13:16:21 IST 2023","Wed Dec 20 13:16:21 IST 2023","1","","Genie Website Registration Functionality: To verify the passwordfield","","","","",""
"passed","Wed Dec 20 13:16:30 IST 2023","Wed Dec 20 13:16:30 IST 2023","2","","Genie Website Registration Functionality: verify the names","","","","",""
"passed","Wed Dec 20 13:17:34 IST 2023","Wed Dec 20 13:17:34 IST 2023","1","","Genie Website Registration Functionality: User selects suitable profession from the drop down","","","","",""
"passed","Wed Dec 20 13:15:37 IST 2023","Wed Dec 20 13:15:42 IST 2023","4273","","Genie Website Registration Functionality: To verify valid email","","","","Given the user enters valid email",""
